
Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.33 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.280w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.617w    240 calls
DFH: initialize()                   :      0.000u      0.000s      7.095w     80 calls
DFH: AO Construction                :      0.000u      0.000s      1.028w     80 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.189w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.075w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.075w     80 calls
HF: Guess                           :      0.000u      0.000s     11.582w     80 calls
SAD Guess                           :      0.000u      0.000s     11.283w     80 calls
HF: Form G                          :      0.000u      0.000s      0.633w    703 calls
JK: D                               :      0.000u      0.000s      0.017w    703 calls
JK: USO2AO                          :      0.000u      0.000s      0.043w    703 calls
JK: JK                              :      0.000u      0.000s      0.509w    703 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.503w    703 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    703 calls
DFH: compute_J                      :      0.000u      0.000s      0.265w    703 calls
DFH: compute_K                      :      0.000u      0.000s      0.184w    703 calls
JK: AO2USO                          :      0.000u      0.000s      0.026w    703 calls
HF: Form F                          :      0.000u      0.000s      0.082w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.159w    623 calls
HF: Form C                          :      0.000u      0.000s      1.315w    623 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      1.280w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.970w     80 calls
DFH: initialize()                   :      0.000u      0.000s      7.095w     80 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.647w    160 calls
| DFH: AO Construction              :      0.000u      0.000s      1.028w     80 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.189w     80 calls
HF: Form core H                     :      0.000u      0.000s      1.075w     80 calls
HF: Form S/X                        :      0.000u      0.000s      0.075w     80 calls
HF: Guess                           :      0.000u      0.000s     11.582w     80 calls
| SAD Guess                         :      0.000u      0.000s     11.283w     80 calls
HF: Form G                          :      0.000u      0.000s      0.633w    703 calls
| JK: D                             :      0.000u      0.000s      0.017w    703 calls
| JK: USO2AO                        :      0.000u      0.000s      0.043w    703 calls
| JK: JK                            :      0.000u      0.000s      0.509w    703 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.503w    703 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    703 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.265w    703 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.184w    703 calls
| JK: AO2USO                        :      0.000u      0.000s      0.026w    703 calls
HF: Form F                          :      0.000u      0.000s      0.082w    703 calls
HF: Form D                          :      0.000u      0.000s      0.013w    703 calls
HF: DIIS                            :      0.000u      0.000s     11.159w    623 calls
HF: Form C                          :      0.000u      0.000s      1.315w    623 calls

**************************************************************************************

Host: AS-Laptop

Timers On : Sun Nov 12 11:05:16 2023
Timers Off: Sun Nov 12 11:07:19 2023

Wall Time:      123.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      1.445w     80 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      1.614w    240 calls
